                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1762,                 0.5945,                 0.8014,                0.57254,                      1,                0.67833,                0.44936,                 1.1563,                 1.0453,                0.87194,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1385,                0.57866,                0.79679,                0.57091,                      1,                0.67989,                0.49312,                 1.0105,                0.98158,                0.86731,               0.001307,               0.001307,               0.001307
                     38,                 1.1811,                0.64523,                0.80143,                0.56787,                      1,                0.70761,                0.54044,                 1.0554,                 0.9903,                0.87163,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.165,                0.61748,                0.79808,                0.55769,                      1,                0.75496,                0.53921,                 1.0051,                  1.028,                0.86877,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.202,                0.61548,                0.80829,                0.55538,                      1,                0.76716,                0.58273,                0.93849,                0.96197,                0.86172,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2086,                0.61096,                0.80027,                0.56736,                      1,                0.73802,                0.56461,                0.91041,                 1.0041,                 0.8581,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1707,                0.59316,                0.80548,                0.55539,                      1,                0.72218,                0.52689,                 1.0234,                 1.0479,                0.86297,               0.001208,               0.001208,               0.001208
                     43,                 1.2039,                0.60093,                0.79742,                0.55412,                      1,                0.76331,                0.44583,                 1.3713,                 1.0209,                0.88799,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1464,                0.56233,                0.80304,                0.54917,                      1,                0.75735,                0.53219,                  1.155,                0.99365,                0.87864,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1347,                0.56167,                0.79627,                0.60172,                      1,                0.70908,                0.50961,                 1.0079,                0.96703,                 0.8697,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1641,                0.55891,                0.80177,                0.59954,                      1,                0.65275,                0.47346,                 1.0824,                 1.0309,                 0.8721,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1561,                0.56001,                0.79708,                0.58715,                      1,                0.68422,                0.48764,                 1.0303,                 1.0191,                0.86934,               0.001109,               0.001109,               0.001109
                     48,                 1.1175,                0.57235,                0.79362,                0.59408,                      1,                0.67067,                 0.4807,                 1.0017,                 0.9849,                0.86982,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1786,                0.59235,                0.79547,                0.59164,                      1,                 0.6774,                0.46051,                 1.0585,                0.96861,                0.87491,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0987,                0.58297,                0.80248,                0.56343,                      1,                0.69988,                0.44393,                  1.182,                0.96585,                0.88135,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1295,                0.57686,                 0.8022,                0.56172,                0.93333,                   0.66,                  0.444,                 1.1688,                  0.978,                0.87776,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1142,                0.56147,                0.77778,                0.55421,                      1,                0.67884,                0.51302,                 1.0198,                 1.0959,                0.86953,                0.00101,                0.00101,                0.00101
                     53,                 1.0935,                0.54842,                0.79333,                0.55422,                      1,                0.71477,                0.50801,                0.99566,                 1.0478,                 0.8685,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1141,                0.53674,                0.80015,                0.56651,                      1,                0.71345,                0.50247,                 1.0871,                 1.0102,                0.86983,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1116,                0.55991,                0.79379,                0.55476,                      1,                 0.7263,                0.52673,                 1.0948,                0.91798,                0.87052,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0711,                0.53819,                0.80153,                0.55542,                      1,                0.70543,                 0.5124,                 1.0333,                 1.0068,                0.86871,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0832,                0.53607,                0.79374,                0.55537,                      1,                0.68125,                0.50141,                0.96043,                 1.1656,                0.86785,               0.000911,               0.000911,               0.000911
                     58,                 1.0871,                0.53307,                0.78728,                 0.5548,                      1,                0.70581,                0.42009,                 1.3825,                 1.4051,                0.88684,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0999,                0.55267,                0.80715,                0.55534,                      1,                0.72141,                0.42912,                  1.383,                 1.3048,                 0.8955,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0726,                0.55112,                0.79997,                0.57492,                      1,                  0.748,                 0.5686,                0.96099,                0.97953,                0.86967,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1905,                0.57909,                0.80732,                 0.6159,                      1,                  0.748,                 0.5684,                0.96411,                0.92775,                0.86823,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1515,                0.55412,                0.81124,                0.60196,                      1,                0.72994,                0.49125,                 1.1702,                  1.001,                0.88164,               0.000812,               0.000812,               0.000812
                     63,                 1.1313,                0.55786,                0.80644,                0.59349,                      1,                0.72388,                 0.4751,                 1.1678,                 1.0807,                 0.8777,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0759,                 0.5257,                 0.8068,                0.57445,                      1,                0.69973,                0.48178,                 1.0952,                 1.2401,                 0.8721,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1328,                0.53618,                0.80026,                 0.5709,                      1,                0.68909,                0.47095,                 1.1352,                 1.2661,                0.87504,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0569,                0.49891,                0.79815,                0.56845,                      1,                0.64053,                0.43728,                 1.0647,                 1.1152,                0.87136,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0803,                0.52732,                 0.7987,                0.57222,                      1,                0.63765,                0.44589,                 1.0797,                 1.0379,                0.87113,               0.000713,               0.000713,               0.000713
                     68,                 1.0145,                0.50922,                0.79203,                0.56697,                      1,                0.68172,                0.44971,                 1.1157,                0.99748,                0.87648,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0558,                0.51112,                0.79303,                0.56853,                      1,                0.75581,                0.51616,                 1.0585,                0.98291,                0.87657,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0258,                0.49154,                0.79081,                0.57051,                      1,                0.79482,                0.56024,                 1.0633,                 1.0054,                0.87552,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0725,                0.49873,                0.79893,                0.57067,                      1,                0.79755,                0.56215,                   1.07,                 1.0967,                0.87347,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0015,                0.48248,                0.79573,                0.57387,                      1,                0.82719,                0.56984,                 1.0418,                 1.0975,                0.87138,               0.000614,               0.000614,               0.000614
                     73,                 1.0264,                 0.4975,                0.79362,                0.57301,                      1,                0.80723,                0.57172,                 1.0303,                 1.0741,                0.87242,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0229,                0.52145,                0.79241,                0.57289,                      1,                0.79842,                0.55667,                 1.0034,                0.98571,                0.87531,              0.0005744,              0.0005744,              0.0005744
                     75,                0.99591,                0.47643,                0.79432,                0.57178,                      1,                0.80119,                0.55404,                 1.0392,                0.97393,                0.87492,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0699,                0.47053,                0.79805,                0.57065,                      1,                0.74056,                0.50965,                 1.0969,                 1.1186,                0.87527,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0499,                0.50549,                0.79349,                0.57217,                      1,                0.71792,                0.51377,                 1.0548,                 1.1732,                0.87331,               0.000515,               0.000515,               0.000515
                     78,                 1.0477,                0.50581,                0.80224,                0.56946,                      1,                0.68176,                0.49934,                0.92455,                 1.1693,                0.86291,              0.0004952,              0.0004952,              0.0004952
                     79,                0.85613,                 3.9046,                0.68061,                0.57196,                      1,                0.62354,                0.43528,                 1.0357,                 1.0853,                0.87209,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0617,                0.51049,                0.79137,                0.57358,                      1,                0.63853,                0.43449,                 1.0964,                 1.0499,                0.87437,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0006,                0.49163,                 0.7909,                0.57353,                      1,                0.65118,                0.43623,                 1.0737,                 1.0581,                0.87291,              0.0004358,              0.0004358,              0.0004358
                     82,                   1.02,                0.47364,                0.79278,                0.57327,                      1,                0.67938,                0.44647,                 1.0923,                 1.1596,                0.87163,               0.000416,               0.000416,               0.000416
                     83,                 1.0156,                0.49259,                 0.7953,                0.57295,                      1,                0.70842,                 0.4616,                 1.1349,                 1.1802,                0.87815,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0158,                0.48628,                0.79222,                0.57278,                      1,                0.76854,                0.52299,                 1.0772,                 1.0321,                0.87411,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.0002,                0.47354,                0.80074,                0.57313,                      1,                0.76717,                0.54471,                 1.0699,                 1.0091,                0.87385,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.046,                0.48089,                0.79847,                0.57599,                0.99631,                0.74679,                0.51273,                 1.0844,                0.99157,                0.87438,              0.0003368,              0.0003368,              0.0003368
                     87,                0.97069,                0.45825,                0.78442,                0.57565,                0.99497,                0.71473,                  0.509,                 1.0345,                0.96681,                0.87033,               0.000317,               0.000317,               0.000317
                     88,                 1.0436,                0.48703,                0.79498,                0.56034,                      1,                0.69709,                0.51073,                0.99378,                 0.9929,                0.86829,              0.0002972,              0.0002972,              0.0002972
                     89,                0.98853,                0.49554,                0.79743,                 0.5555,                      1,                0.69976,                0.50145,                0.97408,                0.96796,                0.86711,              0.0002774,              0.0002774,              0.0002774
                     90,                0.96872,                0.45865,                0.78384,                0.55534,                      1,                0.64839,                0.45839,                0.97718,                 1.0192,                0.86815,              0.0002576,              0.0002576,              0.0002576
