                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2845,                 8.1625,                 2.1149,                      0,                      0,                      0,                      0,                 4.8642,                 9.0884,                 1.7562,                0.00012,                0.00012,                0.00012
                      2,                 3.2063,                 4.5474,                 1.1888,                0.00667,                0.26667,                0.00539,                0.00134,                 2.2673,                 3.9571,                0.96942,             0.00025485,             0.00025485,             0.00025485
                      3,                 2.1103,                 2.3748,                0.88744,                  0.025,                      1,                0.04977,                0.01863,                 1.8313,                 3.3283,                0.93326,             0.00038416,             0.00038416,             0.00038416
                      4,                 1.8224,                 1.6904,                0.84577,                  0.025,                      1,                0.06211,                0.03031,                 1.7415,                 3.0359,                 0.9237,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.8439,                 1.5419,                0.84693,                0.02333,                0.93333,                 0.0858,                0.05831,                 1.3317,                 2.9735,                0.89152,             0.00062614,             0.00062614,             0.00062614
                      6,                 1.6674,                 1.2628,                0.82957,                0.04871,                0.93333,                0.13985,                0.08241,                 1.3097,                 3.4133,                0.88747,             0.00073882,             0.00073882,             0.00073882
                      7,                 1.5146,                 1.1495,                0.81869,                0.11044,                0.06667,                0.28507,                0.18523,                 1.3782,                 3.8336,                0.87599,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.5063,                 1.0499,                0.79987,                0.22256,                0.46667,                0.23267,                0.15674,                 1.2441,                 20.944,                0.87558,             0.00094754,             0.00094754,             0.00094754
                      9,                 1.4909,                 1.0181,                0.82143,                0.57303,                0.18202,                0.44487,                 0.2704,                 1.2198,                 2.3413,                0.87582,              0.0010436,              0.0010436,              0.0010436
                     10,                 1.5241,                 1.0064,                0.81516,                 0.4739,                0.46667,                0.53446,                0.33916,                 1.2953,                 2.1487,                0.88913,              0.0011341,              0.0011341,              0.0011341
                     11,                 1.5055,                0.96321,                0.81156,                0.36278,                0.73333,                0.39276,                0.25795,                 1.2168,                 3.6484,                0.87827,               0.001219,               0.001219,               0.001219
                     12,                 1.3948,                0.89423,                0.81133,                0.34082,                0.82771,                0.34423,                0.20905,                 1.2591,                 2.5623,                0.87725,              0.0012985,              0.0012985,              0.0012985
                     13,                 1.4123,                0.92358,                0.81103,                0.30072,                0.86667,                0.30495,                0.18843,                 1.2983,                 3.0183,                0.88447,              0.0013723,              0.0013723,              0.0013723
                     14,                 1.4712,                0.88614,                0.81141,                0.41355,                0.86667,                0.45264,                 0.2942,                 1.2566,                 1.6597,                0.88127,              0.0014406,              0.0014406,              0.0014406
                     15,                 1.4242,                 1.0097,                0.82098,                0.27765,                      1,                0.27847,                0.16655,                 1.2852,                 1.7984,                0.87986,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4447,                0.85765,                0.81183,                0.36234,                      1,                0.37313,                0.22875,                 1.2502,                  2.442,                0.87491,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.359,                0.81527,                0.81789,                0.39884,                0.93333,                0.42443,                0.29755,                   1.03,                 1.7061,                 0.8644,               0.001406,               0.001406,               0.001406
                     18,                 1.3329,                0.82252,                 0.8125,                0.38087,                      1,                0.39276,                0.27758,                  1.076,                 2.5593,                0.87806,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2476,                0.76626,                0.80894,                0.38377,                      1,                0.40338,                0.24852,                 1.3806,                 1.8928,                 0.8865,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2618,                0.75694,                0.79919,                0.48174,                0.99173,                0.48145,                0.29955,                 1.4222,                 3.3191,                0.88697,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2513,                 0.7415,                 0.8147,                0.59646,                      1,                 0.6497,                0.45853,                 1.2572,                 1.2744,                0.87717,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2258,                0.75373,                0.82116,                0.59947,                      1,                0.77188,                0.58065,                 1.0327,                 1.1134,                 0.8705,               0.001208,               0.001208,               0.001208
                     23,                  1.388,                0.80403,                0.82088,                0.42808,                      1,                 0.4628,                 0.3091,                 1.1531,                 4.0586,                0.88262,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1836,                0.72093,                0.79977,                 0.5957,                      1,                0.75562,                0.51825,                 1.0477,                 1.2299,                0.86452,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1991,                 0.7088,                0.80619,                 0.5926,                      1,                0.75233,                0.52398,                 1.0182,                    1.2,                0.86396,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.2235,                0.68714,                0.79888,                0.62137,                      1,                0.76346,                 0.4391,                 1.4406,                  1.316,                0.88894,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1686,                  0.682,                0.79546,                0.61753,                0.96947,                0.75053,                0.51217,                 1.0393,                 1.1286,                0.86725,                0.00101,                0.00101,                0.00101
                     28,                  1.127,                0.67413,                0.79858,                0.58893,                      1,                0.74386,                0.46666,                  1.177,                 1.0691,                0.87963,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.3159,                0.69936,                0.81672,                0.59986,                      1,                0.74178,                0.45608,                 1.2175,                 1.0684,                0.88618,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1177,                0.67003,                0.78701,                0.61105,                      1,                0.77704,                0.47849,                 1.2077,                 1.1051,                0.88558,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.2394,                 0.6987,                0.80323,                0.60881,                      1,                 0.7572,                0.48227,                 1.1794,                 1.0814,                0.88241,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1378,                0.63872,                0.80756,                0.61621,                      1,                0.77175,                0.53021,                 1.0779,                  1.031,                0.87624,               0.000812,               0.000812,               0.000812
                     33,                 1.3522,                0.79654,                 0.8001,                0.62355,                      1,                0.75375,                0.47876,                 1.1422,                 1.0276,                0.88149,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0578,                 0.6127,                0.80295,                0.59435,                      1,                0.76544,                0.52121,                 1.0815,                 1.0208,                0.87852,              0.0007328,              0.0007328,              0.0007328
                     35,                  1.107,                0.64327,                0.80312,                0.61582,                0.93333,                0.76983,                0.49413,                 1.1091,                0.97227,                0.87746,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1366,                0.60954,                0.79741,                0.59331,                      1,                0.78268,                0.48226,                 1.2989,                 1.0701,                0.88174,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0902,                0.58883,                0.79388,                0.61166,                      1,                0.78657,                0.54808,                 1.1669,                  1.079,                0.87201,               0.000614,               0.000614,               0.000614
