                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3868,                 2.0338,                 1.5513,                0.30561,                 0.3139,                0.24399,                 0.1036,                 1.8244,                 2.4945,                 2.0796,             0.00066369,             0.00066369,             0.00066369
                      2,                 1.5507,                  1.848,                 1.6849,                0.47934,                0.56726,                0.46069,                0.20809,                 1.7365,                 2.1732,                 2.0871,              0.0013172,              0.0013172,              0.0013172
                      3,                 1.6032,                 1.7826,                 1.7166,                0.43534,                0.46156,                0.38614,                0.14469,                 2.0853,                 2.1806,                 2.3848,              0.0019575,              0.0019575,              0.0019575
                      4,                 1.5957,                 1.7674,                 1.7171,                0.53172,                0.56726,                0.55811,                0.27447,                 1.6186,                 1.6523,                 1.8265,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.535,                 1.6561,                 1.6788,                0.60954,                0.63353,                0.62167,                0.31203,                 1.5191,                 1.6656,                 1.7885,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4941,                 1.6091,                 1.6431,                0.55995,                0.64764,                0.58928,                0.29825,                 1.5574,                 1.5798,                 1.8028,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4783,                 1.5515,                 1.6286,                  0.608,                0.62599,                0.65353,                 0.3602,                  1.442,                   1.51,                 1.7095,               0.001901,               0.001901,               0.001901
                      8,                 1.4423,                 1.4886,                 1.6074,                 0.6673,                0.67713,                0.69285,                0.37337,                 1.4882,                 1.3607,                 1.7215,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4147,                 1.4283,                 1.5716,                0.66401,                0.68161,                0.68751,                0.38613,                 1.4579,                 1.3676,                 1.6974,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4129,                 1.4262,                 1.5796,                0.61172,                 0.6861,                0.67372,                0.37944,                 1.4412,                  1.398,                 1.6886,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3698,                 1.3584,                 1.5462,                0.71226,                 0.6861,                0.73218,                0.40064,                 1.4084,                 1.2772,                 1.6759,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.363,                 1.3176,                 1.5308,                0.66868,                0.70404,                0.71249,                0.41072,                 1.3576,                 1.2701,                  1.589,               0.001802,               0.001802,               0.001802
                     13,                 1.3774,                 1.3398,                 1.5408,                0.69382,                0.75198,                0.75929,                0.43755,                 1.3941,                 1.1332,                  1.662,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3425,                 1.3124,                 1.5194,                0.71735,                0.76251,                0.79209,                 0.4798,                 1.3279,                 1.1439,                 1.5896,              0.0017624,              0.0017624,              0.0017624
